Source,Target,Type,Id,Label,Value
18,114,Undirected,0,1,0.8076917866463629
18,72,Undirected,1,1,0.7029357740723587
18,138,Undirected,2,1,0.6382462357319075
114,72,Undirected,3,1,0.7358378570505919
114,178,Undirected,4,1,0.760454109993059
114,138,Undirected,5,1,0.7000234439309447
114,140,Undirected,6,1,0.6024942459270233
72,140,Undirected,7,1,0.682249723465366
72,134,Undirected,8,1,0.6320888499289723
72,178,Undirected,9,1,0.6194267090470281
138,89,Undirected,10,1,0.6554670860348457
138,140,Undirected,11,1,0.6265278014053897
138,178,Undirected,12,1,0.6141563124495801
178,140,Undirected,13,1,0.6494981916472878
178,153,Undirected,14,1,0.6265019024755039
23,153,Undirected,15,1,0.6508696525093504
21,31,Undirected,16,1,0.7138175295616873
21,25,Undirected,17,1,0.6272677610761469
31,25,Undirected,18,1,0.6170835992685226
31,86,Undirected,19,1,0.6823584598099137
31,77,Undirected,20,1,0.6448423984020047
31,44,Undirected,21,1,0.5939940657538542
25,174,Undirected,22,1,0.6717784639451376
25,129,Undirected,23,1,0.626195451004143
25,131,Undirected,24,1,0.5991669418596983
174,86,Undirected,25,1,0.6658009491232717
174,36,Undirected,26,1,0.43044898945117616
170,148,Undirected,27,1,0.5043295299463436
129,124,Undirected,28,1,0.5737920643190105
29,134,Undirected,29,1,0.7384974303815378
29,140,Undirected,30,1,0.7179915251212288
29,71,Undirected,31,1,0.6313291801229044
134,71,Undirected,32,1,0.6766458406655755
134,140,Undirected,33,1,0.7457491617529999
81,121,Undirected,34,1,0.505405836129253
121,169,Undirected,35,1,0.4353860701455031
167,148,Undirected,36,1,0.4250904679111712
167,124,Undirected,37,1,0.5012889714729094
89,99,Undirected,38,1,0.6471213979873889
99,144,Undirected,39,1,0.6490270385154796
144,169,Undirected,40,1,0.5447290190488463
169,148,Undirected,41,1,0.47725542010063315
