Id,Label,Interval,Size,Type,M_E1,M_E2,M_v1,M_v2,Std_E1,Std_E2,Std_v1,Std_v2
47,5-3, ,3.0,5,0.002889557799201236,0.002867340122954944,0.2191929219160899,0.2039271929407303,0.00030620269920165615,0.00029088315678535637,0.02409792487347817,0.022439448360892907
111,5-7, ,3.0,5,0.0017885196829794383,0.0017688072781669663,0.1115082134564472,0.10560024741664045,0.0003538746533237347,0.0003595818101175664,0.021374611736095325,0.020183663471476033
113,5-4, ,3.0,5,0.001637124173407614,0.001643934799016932,0.2356774483649432,0.22803942931593177,0.00020441737563335234,0.00021975141584038992,0.044662190614856406,0.04240904647561333
143,5-5, ,3.0,5,0.001444755821207416,0.0014389866770261799,0.18419899392129213,0.17758954473283148,0.00016879271951234748,0.0001779456133167009,0.034309145360844985,0.032561651614131375
160,5-6, ,3.0,5,0.002843737419235281,0.002850800368184832,0.2029426437934944,0.1907748854498539,0.0003200698937571263,0.0003003196787798646,0.03130973853845812,0.028147146410027628
181,5-2, ,3.0,5,0.0017196739054139419,0.0017141229163710919,0.10537382749539885,0.10055584190296436,0.00043714589928902725,0.0004382984382522764,0.02354552619989453,0.022084411770583963
182,5-1, ,3.0,5,0.0017787758823071913,0.0017976994279461796,0.2885813598833034,0.28041387688015723,0.00014248765172006608,0.00016586192945712528,0.024366868242855427,0.0230904063303459
