Id,Label,Interval,Size,Type,M_E1,M_E2,M_v1,M_v2,Std_E1,Std_E2,Std_v1,Std_v2
0,7-52, ,3.0,7,0.001438701050449,0.0014343310439956668,0.04724353454324813,0.040227564648891004,0.00017814561082459172,0.00017421704301221087,0.048840897102209575,0.04687219768393654
1,7-46, ,3.0,7,0.0023484733202315867,0.0023854030783300004,0.2752708848295237,0.26340057514458726,0.00022595902963184027,0.00022376511311548243,0.03507276264291878,0.03319723822139619
5,7-25, ,3.0,7,0.001556603896354535,0.0015621032523125582,0.26349384530568604,0.2588839454184535,0.00014678170238908297,0.00015791869790073132,0.026810165399158915,0.02674047197950031
7,7-36, ,3.0,7,0.0028060199715538203,0.0028580866671037075,0.3195098327610562,0.30883477251444946,0.00018904122966933385,0.00019537119272572222,0.014471816597312143,0.009330552843633823
14,7-41, ,3.0,7,0.0016294695339981158,0.0016388450697555072,0.22532090147247827,0.21802510101981162,0.0002039988933549305,0.00021554827569198414,0.04344278589182565,0.04235453232019694
16,7-49, ,3.0,7,0.0012026352518343477,0.0011948466457019568,-0.012412129964592128,-0.016071284843146304,0.00012765644085126267,0.00013491158756799291,0.05550248264560756,0.055190901058367645
22,7-16, ,3.0,7,0.0016010745035183337,0.0016126924352651852,0.16624953808248333,0.15938198632961478,0.00020531778960862133,0.00019835535567053138,0.039488491020617716,0.03698427686218785
24,7-14, ,3.0,7,0.0016117056285132945,0.0016361990635731763,0.2939332285485765,0.29074873120017647,0.0001277133745466686,0.00012546686975625982,0.014227893401810762,0.010552911174265257
28,7-31, ,3.0,7,0.001246755514925909,0.0012388679197082907,0.2783332204722909,0.27455705068170905,0.00015804024375430488,0.00015898336614119223,0.021780276906126016,0.01879018617002816
33,7-35, ,3.0,7,0.0013561233377963793,0.001367786873310862,0.14751514807981725,0.14206586772200513,0.00017030132746547036,0.00017818131475933139,0.05108086913689217,0.05096097910489384
35,7-6, ,3.0,7,0.0011660566985457563,0.0011612303965578589,0.056101349767335634,0.05185806262958085,0.00012543380195338208,0.00012119904755685092,0.0560299753687171,0.0548675058847292
37,7-12, ,3.0,7,0.001985232073486068,0.001991224407461573,0.2985584182835056,0.28876953840596625,0.00017808752496266872,0.00018513425455032358,0.01716214551442209,0.014024428673547047
39,7-20, ,3.0,7,0.001846925941134348,0.0018598542958326086,0.20703119142559423,0.1988949534453768,0.0002390549926302439,0.00025148580408698696,0.033948522968390724,0.03254964869790896
40,7-44, ,3.0,7,0.0014802782314262501,0.0014886529080280556,0.25287683966387503,0.24782870065055562,0.00016685116192846354,0.00017515211931474255,0.030537966676196376,0.028368490832553404
42,7-40, ,3.0,7,0.0027314503511825,0.002736156821745,0.16167191602008335,0.15051041745453334,0.0003265329962915049,0.0003520985016916499,0.03054045411582328,0.028668242028049417
53,7-47, ,3.0,7,0.0018640104328444445,0.001854474875142444,-0.2635214494484222,-0.2628308349078223,0.00028671343722410996,0.00028542712767248716,0.05931916959831175,0.05887025195893092
55,7-10, ,3.0,7,0.002136954481766667,0.0021468639431533334,-0.19544611071636905,-0.19977353439234286,0.000330475701950482,0.00032770457476061714,0.07349714436672712,0.07285054875818821
58,7-42, ,3.0,7,0.0029497103348912496,0.00298680570621625,0.07365661222872943,0.06559112837761374,0.0004299421266901973,0.0004259199041226889,0.05314564670883395,0.05216374158872354
63,7-29, ,3.0,7,0.002147774438223881,0.0021615329522505972,0.3009527593888806,0.2925502925845373,0.0002515916516743685,0.0002644579629874013,0.025672600596320014,0.023655193515107847
67,7-33, ,3.0,7,0.0019796085721232957,0.002005202184324432,0.2660355108865227,0.2593285250188182,0.00020073884819201147,0.0002039035943127862,0.024517744444868,0.02316135829215227
68,7-22, ,3.0,7,0.0031685199933566663,0.0032329042371426983,0.329083313446508,0.31714605949720637,0.00030983080963453284,0.00034872331467067033,0.018730358113997567,0.01702050656281025
75,7-28, ,3.0,7,0.00108308936492532,0.00107549576407764,-0.0784763346364336,-0.0818524278380468,7.527519493493569e-05,8.29489237612342e-05,0.05480591209962443,0.05459462903148115
76,7-3, ,3.0,7,0.001710708679424,0.0017027556259845002,-0.26983430663244995,-0.26970894960999997,0.00022803405343951706,0.00022724781056293402,0.06816452276812901,0.06744594711198988
84,7-39, ,3.0,7,0.0022166374184506552,0.0022201682461881964,0.31842732475203284,0.3047645607722623,0.00016581015948049415,0.00017971123717626446,0.013677243002957242,0.009895511831481874
90,7-17, ,3.0,7,0.0013834236907211493,0.001394213746341839,0.23992833648972411,0.2374195278048506,0.00013546148619270705,0.00013043972203732927,0.027573856124437038,0.026808456181470437
