Source,Target,Type,Id,Label,Value
3,57,Undirected,0,1,0.6824937507538837
3,115,Undirected,1,1,0.6727946311522073
3,166,Undirected,2,1,0.4860975188254413
57,30,Undirected,3,1,0.6285892059844259
57,106,Undirected,4,1,0.6766669880768832
57,115,Undirected,5,1,0.6438442551685815
57,92,Undirected,6,1,0.6240695048765004
115,88,Undirected,7,1,0.7115626206557877
115,116,Undirected,8,1,0.6139287317737909
115,41,Undirected,9,1,0.6076593688850652
30,151,Undirected,10,1,0.4641187781865057
106,92,Undirected,11,1,0.6381967087189053
106,116,Undirected,12,1,0.6514869787925711
106,180,Undirected,13,1,0.5856894325671601
17,98,Undirected,14,1,0.7331300874606133
17,162,Undirected,15,1,0.671077219313003
17,65,Undirected,16,1,0.6533629607535181
17,179,Undirected,17,1,0.46117561310001753
17,80,Undirected,18,1,0.59790654554903
98,65,Undirected,19,1,0.6455432254922299
98,162,Undirected,20,1,0.7606468621117546
162,65,Undirected,21,1,0.6233499060158975
162,137,Undirected,22,1,0.6503587265076779
162,70,Undirected,23,1,0.5452961888187802
65,141,Undirected,24,1,0.6302231160634328
137,141,Undirected,25,1,0.6969935446563695
92,112,Undirected,26,1,0.6266639478123337
41,150,Undirected,27,1,0.43795403152538215
116,88,Undirected,28,1,0.7031388507040064
116,112,Undirected,29,1,0.632816681658513
43,70,Undirected,30,1,0.6666780041949174
141,51,Undirected,31,1,0.5741922349017101
64,112,Undirected,32,1,0.7054120488494061
64,69,Undirected,33,1,0.6847522145646342
112,88,Undirected,34,1,0.6566830265372784
179,125,Undirected,35,1,0.4518870132756716
125,155,Undirected,36,1,0.4810897855431022
155,166,Undirected,37,1,0.445897793712707
