Source,Target,Type,Id,Label,Value
0,35,Undirected,0,1,0.6129833273383751
0,39,Undirected,1,1,0.6036013782201863
35,16,Undirected,2,1,0.6981540048873398
35,39,Undirected,3,1,0.6189747204769018
39,147,Undirected,4,1,0.6960263697782153
39,14,Undirected,5,1,0.5555861169995896
152,16,Undirected,6,1,0.6031009658516782
14,145,Undirected,7,1,0.5562207670753815
1,22,Undirected,8,1,0.6990813288979996
1,63,Undirected,9,1,0.6887082996111293
1,68,Undirected,10,1,0.6405916932299826
1,84,Undirected,11,1,0.6316513112854556
22,40,Undirected,12,1,0.702271786900435
22,119,Undirected,13,1,0.6547205731461676
22,33,Undirected,14,1,0.6151524261312067
22,63,Undirected,15,1,0.6039953506591438
63,40,Undirected,16,1,0.6103399533502503
63,84,Undirected,17,1,0.691501423153013
63,68,Undirected,18,1,0.6914794957831609
63,95,Undirected,19,1,0.6858234217678176
63,146,Undirected,20,1,0.6429596427598698
68,95,Undirected,21,1,0.7964992368347493
68,84,Undirected,22,1,0.6822872287612645
84,24,Undirected,23,1,0.6635116345000464
84,67,Undirected,24,1,0.7596519557864801
84,95,Undirected,25,1,0.6791801422478041
119,176,Undirected,26,1,0.6557808847258606
5,103,Undirected,27,1,0.7323215428071079
5,37,Undirected,28,1,0.7042554973768935
5,149,Undirected,29,1,0.6192775460227207
5,107,Undirected,30,1,0.6094659515219729
5,127,Undirected,31,1,0.606051795863118
103,7,Undirected,32,1,0.6242356967407345
103,37,Undirected,33,1,0.7252323328683442
103,96,Undirected,34,1,0.7212787928431228
103,107,Undirected,35,1,0.745952860152963
37,149,Undirected,36,1,0.6853746023446519
37,147,Undirected,37,1,0.6071817457007436
107,96,Undirected,38,1,0.7415023999494984
107,108,Undirected,39,1,0.6593306259518843
107,28,Undirected,40,1,0.58107990952539
7,147,Undirected,41,1,0.7565659075339496
7,96,Undirected,42,1,0.7450250251985522
139,128,Undirected,43,1,0.399602590069543
139,135,Undirected,44,1,0.4686751804959858
139,53,Undirected,45,1,0.527696217558329
40,24,Undirected,46,1,0.6142032344576279
33,93,Undirected,47,1,0.5797605843983152
24,67,Undirected,48,1,0.7050742748926463
24,90,Undirected,49,1,0.674513080151907
67,95,Undirected,50,1,0.6659964378058904
67,90,Undirected,51,1,0.6515426602786578
67,146,Undirected,52,1,0.6207491987842457
90,146,Undirected,53,1,0.6290693886039862
146,102,Undirected,54,1,0.7758257984150372
146,133,Undirected,55,1,0.6321584725056117
146,95,Undirected,56,1,0.6607748800034652
108,91,Undirected,57,1,0.4948148840246186
130,75,Undirected,58,1,0.7360160081124698
130,136,Undirected,59,1,0.7472429665024465
42,110,Undirected,60,1,0.4938004537445234
110,55,Undirected,61,1,0.32029593024165104
55,76,Undirected,62,1,0.5928970134547491
53,159,Undirected,63,1,0.5418495683735653
53,76,Undirected,64,1,0.5732121745182552
76,136,Undirected,65,1,0.6483311154302077
136,104,Undirected,66,1,0.592412683727765
104,158,Undirected,67,1,0.5186710972122174
58,128,Undirected,68,1,0.5395356539697889
142,176,Undirected,69,1,0.5049656494661356
176,75,Undirected,70,1,0.7144620783629891
95,102,Undirected,71,1,0.7640643380185521
102,109,Undirected,72,1,0.5930430033294559
91,109,Undirected,73,1,0.622945302513917
